"","Zone_ID","Zone","comparison","yld_response","low","medium","high","high_vs_low","high_vs_medium","medium_vs_low","Significant","P_value","paddock_ID","Strip_Type","input_file","ID_analysis_1","av_rain","more_info"
"1",317210,"High","high_v_low","negative",6.45863076923077,6.42149206349206,6.38508474576271,-0.0735460234680572,-0.0364073177293518,-0.0371387057387054,"not significant",0.743286347643265,31721,"N Strip","Dougs1_SegID_Zone.csv","317210_N Strip_high_v_low",433,"all good"
"2",317210,"High","high_v_medium","negative",6.45863076923077,6.42149206349206,6.38508474576271,-0.0735460234680572,-0.0364073177293518,-0.0371387057387054,"not significant",0.60228511972425,31721,"N Strip","Dougs1_SegID_Zone.csv","317210_N Strip_high_v_medium",433,"all good"
"3",317210,"High","medium_v_low","negative",6.45863076923077,6.42149206349206,6.38508474576271,-0.0735460234680572,-0.0364073177293518,-0.0371387057387054,"not significant",0.871517892585978,31721,"N Strip","Dougs1_SegID_Zone.csv","317210_N Strip_medium_v_low",433,"all good"
"4",317211,"Low","high_v_low","negative",6.99353623188406,6.72132786885246,6.73777966101695,-0.255756570867109,0.0164517921644904,-0.272208363031599,"significant",0.000185056205577552,31721,"N Strip","Dougs1_SegID_Zone.csv","317211_N Strip_high_v_low",433,"all good"
"5",317211,"Low","high_v_medium","no_response",6.99353623188406,6.72132786885246,6.73777966101695,-0.255756570867109,0.0164517921644904,-0.272208363031599,"not significant",0.746870196914792,31721,"N Strip","Dougs1_SegID_Zone.csv","317211_N Strip_high_v_medium",433,"all good"
"6",317211,"Low","medium_v_low","negative",6.99353623188406,6.72132786885246,6.73777966101695,-0.255756570867109,0.0164517921644904,-0.272208363031599,"significant",0.000320472340796776,31721,"N Strip","Dougs1_SegID_Zone.csv","317211_N Strip_medium_v_low",433,"all good"
"7",317220,"High","high_v_low","positive",6.51647555555556,7.054998,7.02154375,0.505068194444445,-0.0334542500000001,0.538522444444445,"significant",0.000173909070939145,31722,"P Strip","Dougs2_SegID_Zone.csv","317220_P Strip_high_v_low",437,"all good"
"8",317220,"High","high_v_medium","negative",6.51647555555556,7.054998,7.02154375,0.505068194444445,-0.0334542500000001,0.538522444444445,"not significant",0.742847971647377,31722,"P Strip","Dougs2_SegID_Zone.csv","317220_P Strip_high_v_medium",437,"all good"
"9",317220,"High","medium_v_low","positive",6.51647555555556,7.054998,7.02154375,0.505068194444445,-0.0334542500000001,0.538522444444445,"significant",0.000245370151510389,31722,"P Strip","Dougs2_SegID_Zone.csv","317220_P Strip_medium_v_low",437,"all good"
"10",317221,"Low","high_v_low","positive",5.808288,6.49681428571429,6.27696538461538,0.468677384615384,-0.219848901098901,0.688526285714286,"significant",0.0145683578251527,31722,"P Strip","Dougs2_SegID_Zone.csv","317221_P Strip_high_v_low",437,"all good"
